0,1,2
"{'区域': '全市(共514)', '温度1': '0', '温度2': '514', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '全市(共514)', '雨量1': '510', '雨量2': '4', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '全市(共514)', '风速1': '507', '风速2': '7', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '白云区(共61)', '温度1': '0', '温度2': '61', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '白云区(共61)', '雨量1': '61', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '白云区(共61)', '风速1': '60', '风速2': '1', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '从化区(共82)', '温度1': '0', '温度2': '82', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '从化区(共82)', '雨量1': '82', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '从化区(共82)', '风速1': '82', '风速2': '0', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '花都区(共48)', '温度1': '0', '温度2': '48', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '花都区(共48)', '雨量1': '48', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '花都区(共48)', '风速1': '48', '风速2': '0', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '黄埔区(共56)', '温度1': '0', '温度2': '56', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '黄埔区(共56)', '雨量1': '56', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '黄埔区(共56)', '风速1': '55', '风速2': '1', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '越秀区(共10)', '温度1': '0', '温度2': '10', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '越秀区(共10)', '雨量1': '9', '雨量2': '1', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '越秀区(共10)', '风速1': '8', '风速2': '2', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '海珠区(共25)', '温度1': '0', '温度2': '25', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '海珠区(共25)', '雨量1': '22', '雨量2': '3', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '海珠区(共25)', '风速1': '25', '风速2': '0', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '荔湾区(共26)', '温度1': '0', '温度2': '26', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '荔湾区(共26)', '雨量1': '26', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '荔湾区(共26)', '风速1': '23', '风速2': '3', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '天河区(共12)', '温度1': '0', '温度2': '12', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '天河区(共12)', '雨量1': '12', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '天河区(共12)', '风速1': '12', '风速2': '0', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
"{'区域': '增城区(共78)', '温度1': '0', '温度2': '78', '温度3': '0', '温度4': '0', '温度5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '增城区(共78)', '雨量1': '78', '雨量2': '0', '雨量3': '0', '雨量4': '0', '雨量5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}","{'区域': '增城区(共78)', '风速1': '78', '风速2': '0', '风速3': '0', '风速4': '0', '风速5': '0', '更新时间': '数据更新时间:2025年07月14日20时10分'}"
