city_area,0~5℃温度,5~35℃温度,35~37℃温度,37~39℃温度,39~℃温度,降水量0~10mm,降水量10~20mm,降水量20~30mm,降水量30~40mm,降水量40~50mm,风速: 0~10.8m/s,风速: 10.8~17.2m/s,风速: 17.2~24.5m/s,风速: 24.5~32.7m/s,风速: 32.7m/s~,tags
全市(共514),0,514,0,0,0,514,0,0,0,0,514,0,0,0,0,数据更新时间:2025年07月14日21时45分
从化区(共82),0,82,0,0,0,82,0,0,0,0,82,0,0,0,0,数据更新时间:2025年07月14日21时45分
白云区(共61),0,61,0,0,0,61,0,0,0,0,61,0,0,0,0,数据更新时间:2025年07月14日21时45分
花都区(共48),0,48,0,0,0,48,0,0,0,0,48,0,0,0,0,数据更新时间:2025年07月14日21时45分
黄埔区(共56),0,56,0,0,0,56,0,0,0,0,56,0,0,0,0,数据更新时间:2025年07月14日21时45分
越秀区(共10),0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,数据更新时间:2025年07月14日21时45分
海珠区(共25),0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,数据更新时间:2025年07月14日21时45分
荔湾区(共26),0,26,0,0,0,26,0,0,0,0,26,0,0,0,0,数据更新时间:2025年07月14日21时45分
天河区(共12),0,12,0,0,0,12,0,0,0,0,12,0,0,0,0,数据更新时间:2025年07月14日21时45分
番禺区(共48),0,48,0,0,0,48,0,0,0,0,48,0,0,0,0,数据更新时间:2025年07月14日21时45分
增城区(共78),0,78,0,0,0,78,0,0,0,0,78,0,0,0,0,数据更新时间:2025年07月14日21时45分
南沙区(共68),0,68,0,0,0,68,0,0,0,0,68,0,0,0,0,数据更新时间:2025年07月14日21时45分
